Date,RON95/litre,RON97/litre,Diesel/litre,WTI/litre,Brent/litre,OPEC/litre,MYR/USD
2018-12-30,2.2,2.5,2.18,0.071456379,0.082570126,0.081186609,0.241716093
2019-01-06,1.93,2.23,2.04,0.077731024,0.089762648,0.088844204,0.24336836
2019-01-13,1.92,2.22,2.05,0.079622308,0.091752748,0.091001305,0.243816167
2019-01-20,1.98,2.28,2.17,0.080575474,0.093466331,0.092582561,0.24225561
2019-01-27,1.98,2.28,2.18,0.082228264,0.094110961,0.092715702,0.243767467
2019-02-03,1.93,2.23,2.18,0.082434747,0.095031725,0.095370519,0.244836119
2019-02-10,1.97,2.27,2.18,0.083295279,0.097950796,0.097502473,0.245784912
2019-02-17,1.98,2.28,2.18,0.087564449,0.102750106,0.10211737,0.245358387
2019-02-24,2.08,2.38,2.18,0.0867911,0.099843788,0.10052426,0.245878157
2019-03-03,2.08,2.43,2.18,0.086858574,0.099775608,0.10026886,0.245064947
2019-03-10,2.08,2.46,2.18,0.089001172,0.101163588,0.102564575,0.244768304
2019-03-17,2.08,2.54,2.18,0.091903878,0.104118559,0.10393302,0.245820138
2019-03-24,2.08,2.61,2.18,0.091958129,0.103953339,0.103257741,0.245758516
2019-03-31,2.08,2.63,2.18,0.096118107,0.107184945,0.106059765,0.245053846
2019-04-07,2.08,2.72,2.18,0.098334755,0.109426179,0.107953459,0.243899792
2019-04-14,2.08,2.68,2.18,0.09719944,0.107970601,0.10739167,0.242217493
2019-04-21,2.08,2.8,2.18,0.099359737,0.111003456,0.111307867,0.241987374
2019-04-28,2.08,2.81,2.18,0.095754104,0.108983089,0.108556838,0.242029983
2019-05-05,2.08,2.7,2.18,0.093710292,0.108022299,0.106400069,0.241041026
2019-05-12,2.08,2.7,2.18,0.093814357,0.11076439,0.108256631,0.240181816
2019-05-19,2.08,2.68,2.18,0.091365268,0.106668048,0.105674947,0.23922788
2019-05-26,2.08,2.76,2.18,0.085537592,0.10410855,0.100742939,0.238879156
2019-06-02,2.08,2.63,2.18,0.07988435,0.095236865,0.092854058,0.23976962
2019-06-09,2.08,2.63,2.18,0.079469384,0.09561444,0.093617114,0.24056783
2019-06-16,2.08,2.41,2.18,0.082702751,0.096735785,0.095013755,0.240158662
2019-06-23,2.08,2.38,2.18,0.088808387,0.101175845,0.099380814,0.241853464
2019-06-30,2.08,2.49,2.18,0.087254185,0.09717912,0.097224787,0.242015123
2019-07-07,2.08,2.53,2.18,0.089883508,0.100483122,0.100544039,0.242127004
2019-07-14,2.08,2.57,2.18,0.08693006,0.097468894,0.099123246,0.243537888
2019-07-21,2.08,2.67,2.18,0.085716248,0.0960389,0.098286945,0.243136385
2019-07-28,2.08,2.56,2.18,0.086263529,0.095477176,0.097277193,0.242525291
2019-08-04,2.08,2.54,2.18,0.080144618,0.086236692,0.088132004,0.239151201
2019-08-11,2.08,2.49,2.18,0.083054835,0.087469611,0.08855078,0.238739172
2019-08-18,2.08,2.49,2.18,0.083583151,0.089712583,0.090435464,0.2394353
2019-08-25,2.08,2.51,2.18,0.082618916,0.089532507,0.089382862,0.237916282
2019-09-01,2.08,2.5,2.18,0.08342701,0.090163445,0.088876038,0.238001698
2019-09-08,2.08,2.5,2.18,0.084725682,0.094652587,0.092736604,0.239855894
2019-09-15,2.08,2.53,2.18,0.089352435,0.098734968,0.098960872,0.239438766
2019-09-22,2.08,2.67,2.18,0.085641614,0.095048646,0.095003492,0.239295757
2019-09-29,2.08,2.79,2.18,0.079799683,0.088963427,0.088978449,0.238839152
2019-10-06,2.08,2.6,2.18,0.079987248,0.089176697,0.088906419,0.238726416
2019-10-13,2.08,2.67,2.18,0.080413201,0.089177623,0.089733856,0.239010605
2019-10-20,2.08,2.68,2.18,0.082996908,0.091341706,0.091266528,0.239048079
2019-10-27,2.08,2.59,2.18,0.083030029,0.090645253,0.091819142,0.239273512
2019-11-03,2.08,2.56,2.18,0.086065832,0.094719479,0.094506933,0.241371915
2019-11-10,2.08,2.57,2.18,0.086383923,0.094943398,0.095216573,0.241285071
2019-11-17,2.08,2.7,2.18,0.08607868,0.096456532,0.095730385,0.240516987
2019-11-24,2.08,2.66,2.18,0.087560397,0.097617704,0.096592371,0.239727753
2019-12-01,2.08,2.66,2.18,0.086879555,0.097536017,0.096013665,0.239638194
2019-12-08,2.08,2.64,2.18,0.089599105,0.100562708,0.099564642,0.240423954
2019-12-15,2.08,2.64,2.18,0.092354182,0.104744084,0.102889399,0.241697803
2019-12-22,2.08,2.58,2.18,0.093226954,0.104543784,0.103859298,0.241832292
2019-12-29,2.08,2.65,2.18,0.094749024,0.104432638,0.104877685,0.243989164
2020-01-05,2.08,2.65,2.18,0.093442392,0.104331718,0.105760078,0.244183978
2020-01-12,2.08,2.62,2.18,0.090145826,0.099146491,0.101512644,0.245874783
2020-01-19,2.08,2.53,2.18,0.086931714,0.096298354,0.099642477,0.246144933
2020-01-26,2.08,2.49,2.18,0.081351067,0.090412371,0.093067473,0.245422885
2020-02-02,2.08,2.41,2.18,0.077059591,0.08353223,0.08449624,0.243278316
2020-02-09,2.04,2.34,2.08,0.077246267,0.084084909,0.084084909,0.241612729
2020-02-16,2.06,2.36,2.14,0.080453177,0.088734677,0.087690027,0.240704423
2020-02-23,2.08,2.38,2.14,0.072175557,0.080727375,0.080055767,0.237282807
2020-03-01,2.08,2.4,2.13,0.068379885,0.076077687,0.076963009,0.238567764
2020-03-08,1.89,2.19,1.96,0.048205085,0.050184485,0.051613224,0.236616117
2020-03-15,1.82,2.1,1.87,0.035039075,0.037153876,0.041600753,0.230292174
2020-03-22,1.44,1.74,1.75,0.02782012,0.034288584,0.036778657,0.227522925
2020-03-29,1.38,1.68,1.68,0.03147632,0.027166285,0.029909035,0.230720839
2020-04-05,1.3,1.6,1.58,0.035342978,0.032634315,0.032272194,0.230290344
2020-04-12,1.25,1.55,1.46,0.029194795,0.029020671,0.027366493,0.2306959
2020-04-19,1.25,1.55,1.43,0.004776923,0.020488973,0.020316313,0.228756067
2020-04-26,1.25,1.55,1.4,0.022762415,0.024703957,0.021632263,0.230358672
2020-05-03,1.25,1.55,1.4,0.034229339,0.034389834,0.031311237,0.231970587
2020-05-10,1.25,1.55,1.4,0.038340142,0.040925197,0.034927288,0.230893767
2020-05-17,1.31,1.61,1.45,0.047887063,0.049102324,0.041405672,0.230013129
2020-05-24,1.38,1.68,1.51,0.049356305,0.048663179,0.041962967,0.229579443
2020-05-31,1.43,1.73,1.61,0.05471617,0.056255612,0.051549317,0.233096886
2020-06-07,1.48,1.78,1.63,0.055936966,0.058374145,0.054666678,0.234836727
2020-06-14,1.56,1.86,1.73,0.056429701,0.060255444,0.054914119,0.233940172
2020-06-21,1.59,1.89,1.77,0.057734191,0.061370179,0.056571263,0.234038827
2020-06-28,1.69,1.99,1.86,0.058508179,0.062105294,0.059947025,0.233426777
