Date,Price of RON95/litre,Price of RON97/litre,Price of Diesel/litre
2019-01-04,2.20,2.50,2.18
2019-01-11,1.93,2.23,2.04
2019-01-18,1.92,2.22,2.05
2019-01-25,1.98,2.28,2.17
2019-02-01,1.98,2.28,2.18
2019-02-08,1.93,2.23,2.18
2019-02-15,1.97,2.27,2.18
2019-02-22,1.98,2.28,2.18
2019-03-01,2.08,2.38,2.18
2019-03-08,2.08,2.43,2.18
2019-03-15,2.08,2.46,2.18
2019-03-22,2.08,2.54,2.18
2019-03-29,2.08,2.61,2.18
2019-04-05,2.08,2.63,2.18
2019-04-12,2.08,2.63,2.18
2019-04-19,2.08,2.68,2.18
2019-04-26,2.08,2.80,2.18
2019-05-03,2.08,2.81,2.18
2019-04-10,2.08,2.80,2.18
2019-05-17,2.08,2.70,2.18
2019-05-24,2.08,2.68,2.18
2019-05-31,2.08,2.76,2.18
2019-06-14,2.08,2.63,2.18
2019-06-21,2.08,2.41,2.18
2019-06-28,2.08,2.38,2.18
2019-07-05,2.08,2.49,2.18
2019-07-12,2.08,2.53,2.18
2019-07-19,2.08,2.57,2.18
2019-07-26,2.08,2.67,2.18
2019-08-02,2.08,2.56,2.18
2019-08-09,2.08,2.54,2.18
2019-08-16,2.08,2.49,2.18
2019-08-23,2.08,2.49,2.18
2019-08-30,2.08,2.51,2.18
2019-09-06,2.08,2.50,2.18
2019-09-13,2.08,2.50,2.18
2019-09-20,2.08,2.53,2.18
2019-09-27,2.08,2.67,2.18
2019-10-04,2.08,2.79,2.18
2019-10-11,2.08,2.60,2.18
2019-10-18,2.08,2.67,2.18
2019-10-25,2.08,2.68,2.18
2019-11-01,2.08,2.59,2.18
2019-11-08,2.08,2.56,2.18
2019-11-15,2.08,2.57,2.18
2019-11-22,2.08,2.70,2.18
2019-11-29,2.08,2.66,2.18
2019-12-06,2.08,2.66,2.18
2019-12-13,2.08,2.64,2.18
2019-12-20,2.08,2.64,2.18
2019-12-27,2.08,2.58,2.18
2020-01-10,2.08,2.65,2.18
2020-01-17,2.08,2.62,2.18
2020-01-24,2.08,2.53,2.18
2020-01-31,2.08,2.49,2.18
2020-02-07,2.08,2.41,2.18
2020-02-14,2.04,2.34,2.08
2020-02-21,2.06,2.36,2.14
2020-02-28,2.08,2.38,2.14
2020-03-06,2.08,2.40,2.13
2020-03-13,1.89,2.19,1.96
2020-03-20,1.82,2.10,1.87
2020-03-27,1.44,1.74,1.75
2020-04-03,1.38,1.68,1.68
2020-04-10,1.30,1.60,1.58
